ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.27734375,0.119,1.2619250162941094,0.2890625,0.032,1.8189088173366654
"V2, V3 & V4",0.236328125,0.754,-0.608231986128142,0.330078125,0.0,3.7443219143447917
DorsalVisual,0.2109375,0.967,-1.746123962119646,0.263671875,0.29,0.6191887257276393
VentralVisual,0.24609375,0.592,-0.179944427179104,0.291015625,0.049,1.850680265506129
MT+Complex,0.28515625,0.045,1.7179523290274,0.275390625,0.122,1.227449144896997
Somatosensory & Motor,0.244140625,0.628,-0.29090084126807764,0.24609375,0.568,-0.12541647847854753
Paracentral & MidCingulate,0.30078125,0.019,2.2060571384767624,0.259765625,0.335,0.462870131125203
Premotor,0.259765625,0.335,0.4631620702413173,0.244140625,0.621,-0.22968705252780186
PosteriorOpercular,0.255859375,0.414,0.224110296923369,0.189453125,0.998,-2.904492284948263
EarlyAuditory,0.244140625,0.604,-0.23710605352425443,0.24609375,0.592,-0.20294973987509646
AuditoryAssociation,0.30078125,0.017,2.3953718305550193,0.205078125,0.987,-2.1144542199064893
Insular & FrontoOpercular,0.2578125,0.351,0.3752344702352479,0.26171875,0.326,0.4644200717972868
MedialTemporal,0.234375,0.767,-0.6945932200658655,0.3203125,0.0,3.271102452244167
LateralTemporal,0.25390625,0.419,0.2050167478024748,0.2734375,0.137,1.117381456969107
TPOJ,0.263671875,0.255,0.6762930845225933,0.244140625,0.615,-0.23835453969463374
SuperiorParietal,0.26953125,0.217,0.8131363250456736,0.24609375,0.598,-0.16879186812817532
InferiorParietal,0.25,0.509,0.010905816380754281,0.287109375,0.05,1.6890198613731644
PosteriorCingulate,0.240234375,0.712,-0.5050915528007299,0.279296875,0.096,1.3097907046549753
ACC & MPFC,0.294921875,0.027,2.0247821277079248,0.23046875,0.831,-0.9177260993525888
Orbital & PolarFrontal,0.265625,0.236,0.7479686584764321,0.25,0.505,-0.012328757988597087
InferoirFrontal,0.283203125,0.072,1.5477858049840068,0.29296875,0.026,1.9639038485641767
DLPFC,0.279296875,0.102,1.3249570037847134,0.2421875,0.653,-0.3585999029893857
