ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.5305989583333334,0.136,1.099549208019014,0.48763020833333337,0.687,-0.43932436297978117,0.6126302083333333,0.0,4.228530766883083,0.4609375,0.918,-1.3850830613264784
"V2, V3 & V4",0.46614583333333337,0.905,-1.3126802163393394,0.580078125,0.0,2.9541319137360396,0.6783854166666667,0.0,6.425291589305898,0.626953125,0.0,4.788418670564579
DorsalVisual,0.4830729166666667,0.707,-0.5667203169291476,0.5442708333333333,0.058,1.6180598835207407,0.6295572916666667,0.0,4.8386936721574205,0.5963541666666667,0.001,3.614515356022704
VentralVisual,0.5026041666666667,0.434,0.16958774444473107,0.5078125,0.393,0.2816969768389297,0.6204427083333333,0.0,4.464143102543243,0.5201822916666667,0.218,0.7871209250111801
MT+Complex,0.46354166666666663,0.923,-1.4411380446994815,0.552734375,0.022,1.9935488358282318,0.6432291666666667,0.0,5.357634230045696,0.5546875,0.028,1.9655736942882795
Somatosensory & Motor,0.5501302083333333,0.034,1.8593515284173017,0.5208333333333333,0.2,0.7862825445244273,0.5338541666666667,0.108,1.2801668443186636,0.38216145833333337,1.0,-4.120535683043776
Paracentral & MidCingulate,0.47721354166666663,0.807,-0.8618847864939123,0.5338541666666667,0.107,1.2702798387645584,0.5944010416666667,0.0,3.503238696800745,0.470703125,0.87,-1.1257723210187205
Premotor,0.51953125,0.227,0.7208507863746664,0.505859375,0.411,0.23264743149529216,0.5950520833333333,0.001,3.544209932546997,0.4641927083333333,0.909,-1.3138167939234473
PosteriorOpercular,0.47526041666666663,0.809,-0.9045832108631581,0.44270833333333337,0.987,-2.288611349809051,0.5104166666666667,0.331,0.4166977946385515,0.5240885416666667,0.174,0.9409623553288926
EarlyAuditory,0.5475260416666667,0.034,1.820785924447412,0.5104166666666667,0.342,0.3876980732098037,0.5045572916666667,0.389,0.22345481787891128,0.4934895833333333,0.592,-0.2308962765885024
AuditoryAssociation,0.48763020833333337,0.678,-0.4567329478338673,0.58984375,0.002,3.27784740559679,0.5266927083333333,0.169,0.9695641563572757,0.46549479166666663,0.918,-1.3529079839865292
Insular & FrontoOpercular,0.5520833333333334,0.033,1.8330583477324827,0.5130208333333333,0.313,0.5049217871931151,0.5546875,0.027,1.9517388236493143,0.5221354166666667,0.204,0.8381540164357268
MedialTemporal,0.5084635416666666,0.367,0.33619369182869063,0.5279947916666667,0.177,0.9667228551210888,0.5208333333333334,0.182,0.8717697099211662,0.5384114583333333,0.072,1.4710719799220842
LateralTemporal,0.5286458333333333,0.153,1.059103856799104,0.513671875,0.299,0.5236136210942869,0.5169270833333333,0.266,0.6720941399484245,0.478515625,0.788,-0.7740239204578996
TPOJ,0.5436197916666666,0.067,1.5649449485075821,0.45703125,0.96,-1.67084605749476,0.5208333333333333,0.225,0.7857813659053052,0.447265625,0.972,-1.8950672373774042
SuperiorParietal,0.5,0.499,0.046465964889066465,0.5611979166666667,0.016,2.251459273438761,0.6536458333333333,0.0,5.67031892487101,0.552734375,0.023,1.951322254888172
InferiorParietal,0.5455729166666667,0.046,1.6678872504014794,0.5052083333333334,0.418,0.2021789303056846,0.6087239583333333,0.0,4.025216683622119,0.5553385416666667,0.024,2.0203862077769257
PosteriorCingulate,0.5358072916666667,0.095,1.3116470187340834,0.5553385416666667,0.026,1.9713284181907678,0.541015625,0.075,1.524036735655067,0.49869791666666663,0.539,-0.08617704603126626
ACC & MPFC,0.5182291666666667,0.266,0.6808834946592166,0.546875,0.042,1.7612544164457784,0.5169270833333333,0.244,0.6707735122710884,0.5240885416666667,0.206,0.8215513000763608
Orbital & PolarFrontal,0.5358072916666667,0.086,1.381780009028158,0.5006510416666666,0.476,0.07371558753418517,0.5286458333333333,0.123,1.129414396581081,0.466796875,0.91,-1.3311281374275326
InferoirFrontal,0.47005208333333337,0.861,-1.0765505061237854,0.5494791666666667,0.025,1.8423624424431406,0.5201822916666667,0.218,0.7673738903051226,0.458984375,0.938,-1.5085700302424325
DLPFC,0.46419270833333337,0.903,-1.3193947983550118,0.49674479166666663,0.559,-0.12520565402867095,0.5533854166666666,0.022,2.026641687509473,0.47591145833333337,0.828,-0.9535135723566716
